Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Черінько;Степан;Михайлович;Чоловіча;1941-11-03;Піаніст;село Горлівка;шосе Танкерна, буд. 64 кв. 22;674 82 29;atamanchukoleksa@example.com
Семенченко;Аліна;Володимирівна;Жіноча;1960-03-15;Реставратор;село Чорноморськ;сквер Стороженка Олега, буд. 265 кв. 80;041 081-85-04;okhrim51@example.net
Чередник;Данна;Михайлівна;Жіноча;1943-11-14;Літературознавець;село Прилуки;узвіз Тещин міст, буд. 538 кв. 487;064 766 84 43;leontii95@example.org
Баран;Пріска;Дмитрівна;Жіноча;1990-12-21;Дерун;місто Олевськ;сквер Аеропортівський 6-й, буд. 5;+380 38 391-91-08;nazarenkosviatoslava@example.com
Носенко;Спас;Романович;Чоловіча;1939-06-10;Правник;селище Звенигородка;парк Кропивницького, буд. 01;309-66-80;venedykt78@example.com
Батюк;Михайло;Володимирович;Чоловіча;1960-05-13;Графік;хутір Бунге;узвіз Рачкова, буд. 3 кв. 44;060 426-69-02;tymofiistelmakh@example.com
Кащенко;Богуслав;Петрович;Чоловіча;1959-07-09;Фізик;місто Почаїв;сквер Ігоря Балмагії, буд. 10;097 956-80-56;iarema66@example.net
Івасюк;Миколай;Володимирович;Чоловіча;1986-03-05;Гінеколог;селище Кам'янка-Бузька;узвіз Буджацька, буд. 218 кв. 2;095 404 50 54;panteleimon21@example.net
Дуплій;Леопольд;Петрович;Чоловіча;1970-12-27;Пілот;хутір Волочиськ;сквер Кордонний, буд. 16;+380 (15) 529-56-36;oryna95@example.com
Скирда;Павло;Юрійович;Чоловіча;1980-11-03;Краєзнавець;село Чугуїв;провулок Ференца Ліста, буд. 75 кв. 31;+380 20 875-16-82;piurchuk@example.com
Микитюк;Геннадій;Григорович;Чоловіча;1973-01-21;Кінорежисер;хутір Берислав;проспект Бориса Кифоренка, буд. 05 кв. 414;499-03-89;andriiovychmarta@example.com
Чумак;Лесь;Ігорович;Чоловіча;2004-08-27;Прокурор;селище Євпаторія;провулок Амбулаторний, буд. 90 кв. 4;+380 91 474-84-83;kiatseniuk@example.com
Вишивана;Марина;Володимирівна;Жіноча;1943-11-13;Краєзнавець;хутір Перемишляни;проспект Локомотивний 2-й, буд. 24 кв. 50;+380 (76) 989-08-39;amvrosii28@example.net
Дейнека;Зиновій;Миколайович;Чоловіча;1956-03-03;Дантист;місто Радехів;парк Ніщинського Композитора, буд. 9;+380 69 299-71-69;mykhailyna37@example.org
Данькевич;Охрім;Миколайович;Чоловіча;1988-09-09;Хімік;село Носівка;парк Миколаївська дорога, буд. 1 кв. 1;+380 50 535 24 69;khomalemeshko@example.org
Вітрук;Віра;Дмитрівна;Жіноча;1961-08-30;Фрілансер;хутір Підгородне;парк Князівська, буд. 8;+380 35 030-27-39;shevchenkovenedykt@example.net
Демʼянюк;Роксолана;Вікторівна;Жіноча;1964-06-14;Мовознавець;місто Хмельницький;узвіз Молоді, буд. 061 кв. 3;041 710-10-37;zakharchenkoandrii@example.net
Франчук;Ігор;Романович;Чоловіча;1962-03-24;Детектив;місто Луцьк;площа Мала Арнаутська, буд. 758;+380 (02) 719-47-55;iustyna92@example.com
Зінчук;Олег;Олегович;Чоловіча;1952-12-28;Візажист;селище Бучач;парк Велика Арнаутська, буд. 53 кв. 272;+380 98 761 45 73;qiaremenko@example.com
Кабаненко;Онисим;Тарасович;Чоловіча;2000-08-23;Золотар;селище Косів;парк Дніпропетровська дорога, буд. 7 кв. 62;+380 05 709-89-54;sviatoslav58@example.com
Заруба;Святослав;Володимирович;Чоловіча;1989-01-17;Біолог;хутір Шахтарськ;площа Гранатна, буд. 39;+380 71 732-31-94;ievhen96@example.net
Остапчук;Марта;Дмитрівна;Жіноча;1963-10-05;Редактор;селище Горлівка;узвіз Штурвальна, буд. 34;079 146-55-35;andrii43@example.net
Бандера;Віолетта;Михайлівна;Жіноча;1940-12-23;Пілот;селище Чистякове;проспект Михайла Божія, буд. 5;020 163-70-45;ypryimak@example.org
Дзиндра;Єва;Андріївна;Жіноча;1985-06-15;Прокурор;хутір Білозерське;площа Полуничний, буд. 37 кв. 944;+380 23 219-55-80;leonshvedchenko@example.net
Артеменко;Владислав;Михайлович;Чоловіча;2007-10-19;Машиніст;хутір Турка;провулок Рибальська балка, буд. 94;034 89 34;vgalagan@example.net
Примаченко;Ірина;Вікторівна;Жіноча;1972-04-29;Клоун;село Підгородне;сквер Немировича-Данченка, буд. 46;034 231 03 86;arkhypenkomakar@example.net
Забарний;Владислав;Богданович;Чоловіча;1957-06-09;Локсмайстер;селище Рубіжне;узвіз Журавлина, буд. 773;012 178-93-22;zorian33@example.org
Швачка;Ірена;Сергіївна;Жіноча;1944-01-21;Євнух;селище Тисмениця;площа Солонцюватий 1-й, буд. 2;064 701 75 08;avhustyn01@example.net
Дзиндра;Марія;Сергіївна;Жіноча;1953-04-28;Кінорежисер;місто Дніпро;вулиця Конструкторський, буд. 50 кв. 8;+380 93 702 65 48;albert60@example.net
Адаменко;Гліб;Олексійович;Чоловіча;1969-12-04;Сценарист;село Федорівка;вулиця Об'їзна дорога, буд. 5;004 574-53-14;ustymreva@example.net
Полтавець;Аліна;Степанівна;Жіноча;1986-03-03;Реставратор;село Бердянськ;сквер Віталія Нестеренка, буд. 822;+380 29 466-00-60;ovcharenkoartem@example.com
Кальченко;Тимофій;Григорович;Чоловіча;1973-06-29;Кухар;місто Монастирище;площа Івахненка Петра, буд. 712;+380 72 777 18 46;abramchukmarusia@example.com
Рябовіл;Симон;Степанович;Чоловіча;2007-04-26;Археолог;селище Володимир-Волинський;шосе Лиманчик 2-й Лінія 1-ша, буд. 15;095 107 64 74;aronetsemiliia@example.net
Опанасенко;Алевтин;Ігорович;Чоловіча;1938-07-18;Ветеринар;місто Білицьке;проспект Аптекарський, буд. 45;808-72-56;chabanliudmyla@example.com
Лесик;Роман;Ігорович;Чоловіча;1943-07-17;Ботанік;місто Бунге;вулиця 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 974 кв. 2;033 755 99 57;oshchyrytsia@example.net
Журавель;Алевтин;Сергійович;Чоловіча;1970-05-03;Менеджер;хутір Алушта;проспект Гвоздична, буд. 703 кв. 0;+380 62 548 64 23;orkhyp42@example.org
Абраменко;Феофан;Миколайович;Чоловіча;1989-02-26;Прокурор;село Горішні Плавні;набережна узвіз Віталія Блажка, буд. 3 кв. 39;+380 59 407-70-42;xromanets@example.net
Цимбалюк;Арсен;Петрович;Чоловіча;1990-11-28;Флорист;місто Хирів;проспект Михайлівська, буд. 03 кв. 76;175-56-55;vdovenkoodarka@example.com
Свистун;Тереза;Степанівна;Жіноча;2008-10-24;Продюсер;місто Судак;вулиця Олексія Косяченко, буд. 44 кв. 0;+380 50 154 34 39;ievtushenkohryhorii@example.net
Заєць;Роман;Тарасович;Чоловіча;1954-05-28;Флорист;хутір Дунаївці;узвіз Ольгіївський узвіз, буд. 6 кв. 902;097 506 63 67;batihpetro@example.org
Негода;Назар;Андрійович;Чоловіча;2000-02-20;Золотар;село Суходільськ;площа Лінія 22-га, буд. 7;+380 56 943-17-04;venedykt92@example.org
Іщенко;Тимофій;Миколайович;Чоловіча;1978-11-29;Водій;село Чернігів;провулок Академіка Векслера, буд. 2;+380 (03) 587-96-84;nonyshchenko@example.org
Шовкопляс;Дан;Григорович;Чоловіча;1992-01-30;Актор;селище Міусинськ;площа Ризька, буд. 45;+380 08 806-49-93;vadym92@example.net
